id,name,image,features,climate,vegetation,region,summary,createdAt,updatedAt
1,山地,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+mountain+landscape+watercolor+cartoon+style+snow+peaks+blue+sky+eagle+flying+goat+marmot+wildflowers&image_size=square_hd,高耸陡峭，海拔高，山峦起伏连绵不断,气候随海拔变化，山顶寒冷，山下温暖,从山脚到山顶植被逐渐变化，多为针叶林和草甸,喜马拉雅山、天山、昆仑山、秦岭,大地的脊梁，是许多珍稀动植物的家园,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
2,平原,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+vast+green+plain+landscape+watercolor+cartoon+style+farmland+river+village+blue+sky&image_size=square_hd,地势平坦开阔，土地肥沃，视野辽阔,温和湿润，四季分明，适合农耕,农田密布，庄稼茂盛，稻浪滚滚,东北平原、华北平原、长江中下游平原,孕育中华文明的肥沃土地，是粮食的主要产地,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
3,盆地,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+basin+landscape+watercolor+cartoon+style+surrounded+mountains+warm+colors+village+river&image_size=square_hd,四周高、中间低，像一个大盆子,温暖湿润，少风沙，云雾多,亚热带植物丰富，竹林茂密,四川盆地、塔里木盆地、柴达木盆地、准噶尔盆地,群山环抱的天府之国，物产丰富气候宜人,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
4,高原,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+high+plateau+landscape+watercolor+cartoon+style+grassland+blue+sky+yaks+distant+mountains&image_size=square_hd,海拔高，面积大，地面开阔辽阔,气候寒冷，日照充足，紫外线强,草原广阔，高山草甸，油菜花田,青藏高原、内蒙古高原、黄土高原、云贵高原,离天空最近的地方，有壮美的草原和圣洁的雪山,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
5,丘陵,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+rolling+hills+landscape+watercolor+cartoon+style+tea+plantations+terraced+fields+misty+mountains&image_size=square_hd,地势起伏和缓，坡度较小，连绵不断,温暖湿润，雨量充沛，云雾缭绕,茶树、果树遍布，森林覆盖率高,东南丘陵、山东丘陵、辽东丘陵,层峦叠翠的绿色海洋，茶叶和水果的故乡,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
6,沙漠,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+desert+landscape+watercolor+cartoon+style+sand+dunes+camel+cactus+sunset+warm+colors&image_size=square_hd,沙石广布，干旱少雨，昼夜温差极大,干燥炎热，降水稀少，风沙大,仙人掌、骆驼刺、胡杨等耐旱植物,塔克拉玛干沙漠、戈壁滩、巴丹吉林沙漠,神秘的金色海洋，藏着顽强的生命奇迹,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
7,喀斯特地貌,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+karst+landscape+watercolor+cartoon+style+limestone+peaks+caves+underground+river+green+vegetation&image_size=square_hd,石灰岩广布，多溶洞、石林、地下河,温暖湿润，雨水充沛，溶蚀作用强,喜钙植物丰富，藤蔓缠绕，绿意盎然,广西桂林、贵州荔波、云南石林、重庆武隆,大自然的雕塑公园，山水甲天下的人间仙境,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
8,丹霞地貌,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+red+rock+landscape+watercolor+cartoon+style+red+cliffs+layered+mountains+blue+sky&image_size=square_hd,红色砂砾岩构成，顶平身陡，色彩斑斓,温暖湿润，风化侵蚀强烈,崖壁植被稀疏，山顶和谷底植被茂密,广东丹霞山、福建武夷山、甘肃张掖、贵州赤水,如霞似火的彩色山峦，大自然的调色盘,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
9,雅丹地貌,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+yadan+landscape+watercolor+cartoon+style+wind+eroded+rock+formations+desert+sunset+dry+lake&image_size=square_hd,风力侵蚀形成，怪石嶙峋，千姿百态,极度干旱，风大沙多，昼夜温差大,植被极其稀少，几乎寸草不生,新疆罗布泊、甘肃敦煌魔鬼城、柴达木盆地,风的杰作，戈壁滩上的魔幻城堡,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
10,黄土地貌,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+loess+plateau+landscape+watercolor+cartoon+style+yellow+soil+terraces+cave+houses+sheep&image_size=square_hd,黄土深厚，千沟万壑，支离破碎,温带大陆性气候，降水集中多暴雨,草原和落叶阔叶林，植被覆盖率较低,黄土高原、山西、陕西、甘肃东部,中华文明的摇篮，独特的黄土文化发源地,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
11,峡谷,https://trae-api-cn.mchost.guru/api/ide/v1/text_to_image?prompt=cute+deep+canyon+landscape+watercolor+cartoon+style+steep+cliffs+river+flowing+through+rainbow+bridge&image_size=square_hd,两岸峭壁高耸，河道深切，气势磅礴,垂直气候差异明显，谷底湿润，山顶寒冷,从热带到寒带植被垂直分布，种类丰富,长江三峡、雅鲁藏布大峡谷、虎跳峡、泸沽湖大峡谷,地球最美丽的伤痕，壮美与险峻并存,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
